date,Families,Adults,Children,Individuals
2015-09-01,11782,16755,23273,40028
2015-09-18,11935,16942,23478,40420
2016-03-08,12188,17071,23008,40079
2016-03-31,12171,17070,22807,39877
2016-11-30,13163,18085,23741,41826
2016-12-01,13170,18081,23746,41827
2016-12-06,13195,18115,23783,41898
2016-12-08,13179,18077,23727,41804
2017-01-08,13017,17879,23438,41317
2017-01-12,13021,17883,23471,41354
2017-02-13,12939,17785,23307,41092
2017-02-15,12909,17730,23267,40997
2017-02-22,12867,17677,23170,40847
2017-02-26,12882,17677,23163,40840
2017-03-15,12788,17553,22966,40519
2017-06-29,12443,17039,22187,39226
2017-07-06,12368,16952,22078,39030
2017-10-24,12895,17644,23056,40700
2017-11-30,12773,17451,22830,40281
2017-12-12,12822,17532,22929,40461
2017-12-14,12826,17542,22947,40489
2018-01-16,12771,17485,22786,40271
2018-01-25,12874,17596,22919,40515
2018-02-05,12882,17614,22985,40599
2018-02-11,12815,17513,22853,40366
2018-02-22,12739,17385,22654,40039
2018-03-08,12716,17352,22671,40023
2018-03-26,12587,17149,22456,39605
2018-09-06,12530,16866,22097,38963
2018-09-09,12597,16963,22266,39229
2018-09-10,12574,16934,22240,39174
2018-09-12,12619,16985,22308,39293
2018-09-13,12617,16984,22264,39248
2018-09-30,12673,17034,22420,39454
2018-10-23,12761,17101,22564,39665
2018-10-24,12768,17105,22570,39675
2018-10-25,12748,17067,22519,39586
2018-10-28,12765,17082,22546,39628
2018-10-30,12729,17041,22508,39549
2018-11-01,12741,17047,22523,39570
2018-11-06,12737,17028,22501,39529
2018-11-07,12779,17082,22585,39667
2018-11-08,12783,17089,22601,39690
2018-11-13,12768,17052,22573,39625
2018-11-15,12776,17053,22585,39638
2018-11-18,12773,17049,22580,39629
2018-11-22,12777,17056,22565,39621
2018-11-26,12701,16953,22457,39410
2018-11-27,12706,16961,22477,39438
2018-11-29,12734,17008,22511,39519
2018-12-03,12726,16989,22447,39436
2018-12-06,12763,17057,22498,39555
2018-12-09,12771,17067,22507,39574
2018-12-10,12739,17035,22475,39510
2018-12-11,12733,17026,22457,39483
2018-12-13,12776,17086,22526,39612
2018-12-16,12736,17030,22454,39484
2018-12-18,12696,16989,22421,39410
2018-12-26,12606,16867,22261,39128
2018-12-30,12584,16838,22239,39077
2019-04-25,11920,15901,20927,36828
2019-06-08,11794,15774,20734,36508
2019-06-10,11792,15775,20734,36509
2019-06-11,11790,15770,20739,36509
2019-06-12,11804,15788,20763,36551
2019-06-23,11780,15770,20742,36512
2019-07-08,11847,15860,20848,36708
2019-07-17,11839,15859,20861,36720
2019-08-06,11975,16026,21146,37172
2019-09-08,12197,16306,21515,37821
2019-09-19,12224,16337,21649,37986
2019-09-30,12219,16346,21601,37947
2019-10-01,12207,16342,21585,37927
2019-10-22,12244,16375,21734,38109
2019-12-30,11910,15967,21266,37233
2020-01-09,12017,16102,21457,37559
2020-01-12,12023,16092,21493,37585
2020-01-13,12018,16095,21479,37574
2020-01-15,12031,16115,21505,37620
2020-01-16,12028,16115,21497,37612
2020-01-20,11974,16051,21404,37455
2020-01-30,11903,15927,21268,37195
2020-02-02,11881,15921,21252,37173
2020-02-03,11881,15914,21251,37165
2020-02-04,11639,15635,20906,36541
2020-02-05,11662,15665,20941,36606
2020-03-19,11317,15158,20358,35516
2020-04-06,11414,15270,20278,35548
2020-04-09,11329,15175,20221,35396
2020-04-14,11332,15163,20109,35272
2020-05-03,11032,14771,19730,34501
2020-05-04,11038,14783,19749,34532
2020-06-18,10755,14365,19170,33535
2020-08-06,10508,13987,18669,32656
2020-08-09,10483,13945,18619,32564
2020-09-30,10326,13641,18270,31911
2020-10-15,10304,13616,18240,31856
2020-10-21,10280,13578,18218,31796
2020-11-09,10224,13477,18021,31498
2020-11-18,10196,13417,17958,31375
2020-12-10,10115,13296,17773,31069
2020-12-17,10067,13250,17661,30911
2020-12-23,10022,13200,17564,30764
2021-01-05,9870,13029,17316,30345
2021-01-26,9798,12907,17174,30081
2021-03-01,9593,12662,16746,29408
2021-03-02,9590,12658,16746,29404
2021-03-03,9579,12638,16720,29358
2021-03-04,9578,12626,16720,29346
2021-03-08,9571,12639,16720,29359
2021-03-17,9434,12449,16485,28934
2021-03-25,9352,12329,16311,28640
2021-04-04,9299,12273,16187,28460
2021-04-11,9210,12155,16050,28205
2021-04-15,9197,12118,16003,28121
2021-04-19,9140,12029,15911,27940
2021-04-29,9061,11936,15735,27671
2021-05-04,8997,11850,15631,27481
2021-05-05,9039,11858,15629,27487
2021-05-06,8985,11828,15587,27415
2021-05-11,8894,11700,15458,27158
2021-05-13,8930,11730,15515,27245
2021-05-17,8908,11686,15456,27142
2021-05-19,8867,11618,15346,26964
2021-05-31,8872,11629,15341,26970
2021-06-02,8821,11563,15256,26819
2021-06-03,8842,11594,15307,26901
2021-06-07,8800,11535,15238,26773
2021-06-08,8798,11546,15239,26785
2021-06-09,8776,11515,15201,26716
2021-06-10,8817,11566,15288,26854
2021-06-13,8800,11534,15245,26779
2021-06-17,8755,11453,15135,26588
2021-07-06,8324,10963,14549,25512
2021-08-26,8272,10860,14392,25252
2021-09-12,8411,11053,14650,25703
2021-10-31,8591,11257,14887,26144
2021-11-21,8511,11153,14728,25881
2021-11-25,8544,11222,14788,26010
2021-12-12,8559,11247,14855,26102
2021-12-26,8460,11161,14659,25820
2022-01-04,8380,11042,14508,25550
2022-01-05,8416,11087,14581,25668
2022-01-12,8467,11169,14662,25831
2022-02-17,8387,11091,14518,25609
2022-03-23,8447,11153,14610,25763
2022-03-28,8428,11145,14570,25715
2022-03-29,8411,11113,14525,25638
2022-03-30,8428,11142,14560,25702
2022-04-21,8490,11279,14702,25981
2022-04-24,8537,11337,14765,26102
2022-04-28,8595,11429,14831,26260
2022-05-02,8555,11367,14731,26098
2022-05-03,8582,11420,14811,26231
2022-06-14,8914,12055,15249,27304
2022-06-16,8906,12055,15234,27289
2022-06-22,8993,12198,15425,27623
2022-06-23,9039,12266,15502,27768
2022-07-07,9294,12706,15907,28613
2022-07-17,9375,12862,16023,28885
2022-07-18,9404,12916,16090,29006
2022-07-19,9445,12986,16160,29146
2022-07-28,9714,13454,16612,30066
2022-07-31,9810,13601,16765,30366
2022-08-01,9790,13569,16729,30298
2022-08-03,9869,13705,16827,30532
2022-08-08,9932,13818,16933,30751
2022-08-17,10095,14073,17148,31221
2022-08-30,10449,14735,17757,32492
2022-09-08,10757,15248,18289,33537
2022-09-11,10871,15433,18491,33924
2022-09-12,10863,15425,18493,33918
2022-09-15,11024,15723,18733,34456
2022-09-18,11198,16051,19027,35078
2022-09-19,11216,16100,19045,35145
2022-09-20,11255,16204,19121,35325
2022-09-25,11436,16512,19414,35926
2022-09-27,11432,16559,19394,35953
2022-10-05,11765,17215,19934,37149
2022-10-06,11819,17306,20044,37350
2022-10-13,12046,17724,20442,38166
2022-10-20,12158,17939,20635,38574
2022-11-03,12071,17869,20540,38409
2022-11-09,12075,17881,20502,38383
2022-11-14,12134,17974,20609,38583
2022-11-15,12186,18044,20728,38772
2022-11-21,12176,18081,20794,38875
2022-12-08,12299,18325,21071,39396
2022-12-13,12339,18417,21150,39567
2022-12-15,12360,18469,21188,39657
2022-12-29,12584,19045,21640,40685
2023-01-02,12746,19331,21875,41206
2023-01-08,12947,19704,22197,41901
2023-01-09,13004,19819,22294,42113
2023-01-12,13078,19934,22419,42353
2023-01-17,13186,20129,22625,42754
2023-02-02,13502,20759,23037,43796
2023-02-06,13398,20651,22881,43532
2023-03-02,13456,20696,22940,43636
2023-03-05,13489,20744,22966,43710
2023-03-07,13518,20772,23011,43783
2023-03-14,13539,20814,23022,43836
2023-03-16,13551,20852,23029,43881
2023-03-19,13646,21015,23208,44223
2023-04-06,14009,21691,23834,45525
2023-04-18,14272,22115,24258,46373
2023-04-23,14430,22399,24577,46976
2023-05-17,15648,24588,26604,51192
