date,Adults,Children,Total Individuals
2015-09-01,33362,23273,56635
2015-09-18,33684,23478,57162
2016-03-08,34965,23008,57973
2016-03-31,34954,22807,57761
2016-11-30,36838,23741,60579
2016-12-01,36821,23746,60567
2016-12-06,36884,23783,60667
2016-12-08,36896,23727,60623
2017-01-08,36811,23438,60249
2017-01-12,36773,23471,60244
2017-02-13,36790,23307,60097
2017-02-15,36859,23267,60126
2017-02-22,36802,23170,59972
2017-02-26,36781,23163,59944
2017-03-15,36864,22966,59830
2017-06-29,36184,22187,58371
2017-07-06,36082,22078,58160
2017-10-24,37325,23056,60381
2017-11-30,37400,22830,60230
2017-12-12,37522,22929,60451
2017-12-14,37646,22947,60593
2018-01-16,37655,22786,60441
2018-01-25,37926,22919,60845
2018-02-05,38040,22985,61025
2018-02-11,37939,22853,60792
2018-02-22,37916,22654,60570
2018-03-08,37835,22671,60506
2018-03-26,37677,22456,60133
2018-09-06,37650,22097,59747
2018-09-09,37841,22266,60107
2018-09-10,37854,22240,60094
2018-09-12,38001,22308,60309
2018-09-13,37976,22264,60240
2018-09-30,38020,22420,60440
2018-10-23,38313,22564,60877
2018-10-24,38389,22570,60959
2018-10-25,38377,22519,60896
2018-10-28,38411,22546,60957
2018-10-30,38348,22508,60856
2018-11-01,38273,22523,60796
2018-11-06,38346,22501,60847
2018-11-07,38464,22585,61049
2018-11-08,38461,22601,61062
2018-11-13,38535,22573,61108
2018-11-15,38467,22585,61052
2018-11-18,38503,22580,61083
2018-11-22,38425,22565,60990
2018-11-26,38413,22457,60870
2018-11-27,38434,22477,60911
2018-11-29,38481,22511,60992
2018-12-03,38400,22447,60847
2018-12-06,38563,22498,61061
2018-12-09,38578,22507,61085
2018-12-10,38590,22475,61065
2018-12-11,38591,22457,61048
2018-12-13,38636,22526,61162
2018-12-16,38551,22454,61005
2018-12-18,38601,22421,61022
2018-12-26,38383,22261,60644
2018-12-30,38211,22239,60450
2019-04-25,37738,20927,58665
2019-06-08,37124,20734,57858
2019-06-10,37276,20734,58010
2019-06-11,37265,20739,58004
2019-06-12,37376,20763,58139
2019-06-23,37299,20742,58041
2019-07-08,37293,20848,58141
2019-07-17,37303,20861,58164
2019-08-06,37510,21146,58656
2019-09-08,37961,21515,59476
2019-09-19,38187,21649,59836
2019-09-30,38094,21601,59695
2019-10-01,38049,21585,59634
