date,Adults,Children,Total Individuals,Single men,Single women,Families with children,Adult families
2015-09-01,33362,23273,56635,8694,3449,11782,2130
2015-09-18,33684,23478,57162,8754,3491,11935,2145
2016-03-08,34965,23008,57973,9531,3650,12188,2242
2016-03-31,34954,22807,57761,9471,3671,12171,2255
2016-11-30,36838,23741,60579,9613,3889,13163,2506
2016-12-01,36821,23746,60567,9636,3870,13170,2496
2016-12-06,36884,23783,60667,9643,3879,13195,2503
2016-12-08,36896,23727,60623,9682,3869,13179,2511
2017-01-08,36811,23438,60249,9855,3780,13017,2524
2017-01-12,36773,23471,60244,9790,3782,13021,2535
2017-02-13,36790,23307,60097,9979,3754,12939,2508
2017-02-15,36859,23267,60126,10016,3845,12909,2507
2017-02-22,36802,23170,59972,10031,3833,12867,2504
2017-02-26,36781,23163,59944,10029,3817,12882,2500
2017-03-15,36864,22966,59830,10152,3869,12788,2517
2017-06-29,36184,22187,58371,10162,3818,12443,2444
2017-07-06,36082,22078,58160,10117,3832,12368,2452
2017-10-24,37325,23056,60381,10317,4071,12895,2509
2017-11-30,37400,22830,60230,10531,4105,12773,2522
2017-12-12,37522,22929,60451,10606,4098,12822,2507
2017-12-14,37646,22947,60593,10665,4119,12826,2524
2018-01-16,37655,22786,60441,10792,4092,12771,2504
2018-01-25,37926,22919,60845,10920,4126,12874,2505
2018-02-05,38040,22985,61025,11011,4111,12882,2515
2018-02-11,37939,22853,60792,11024,4171,12815,2479
2018-02-22,37916,22654,60570,11118,4189,12739,2477
2018-03-08,37835,22671,60506,11119,4152,12716,2466
2018-03-26,37677,22456,60133,11174,4146,12587,2469
2018-09-06,37650,22097,59747,11221,4273,12530,2489
2018-09-09,37841,22266,60107,11267,4356,12597,2473
2018-09-10,37854,22240,60094,11266,4371,12574,2485
2018-09-12,38001,22308,60309,11318,4385,12619,2500
2018-09-13,37976,22264,60240,11288,4381,12617,2503
2018-09-30,38020,22420,60440,11284,4401,12673,2496
2018-10-23,38313,22564,60877,11428,4428,12761,2526
2018-10-24,38389,22570,60959,11493,4436,12768,2527
2018-10-25,38377,22519,60896,11501,4443,12748,2532
2018-10-28,38411,22546,60957,11515,4435,12765,2541
2018-10-30,38348,22508,60856,11506,4422,12729,2542
2018-11-01,38273,22523,60796,11433,4401,12741,2548
2018-11-06,38346,22501,60847,11529,4407,12737,2541
2018-11-07,38464,22585,61049,11579,4413,12779,2545
2018-11-08,38461,22601,61062,11556,4427,12783,2544
2018-11-13,38535,22573,61108,11647,4442,12768,2544
2018-11-15,38467,22585,61052,11554,4451,12776,2551
2018-11-18,38503,22580,61083,11603,4453,12773,2548
2018-11-22,38425,22565,60990,11578,4417,12777,2539
2018-11-26,38413,22457,60870,11646,4451,12701,2531
2018-11-27,38434,22477,60911,11676,4458,12706,2520
2018-11-29,38481,22511,60992,11664,4469,12734,2523
2018-12-03,38400,22447,60847,11626,4447,12726,2522
2018-12-06,38563,22498,61061,11712,4463,12763,2520
2018-12-09,38578,22507,61085,11695,4462,12771,2530
2018-12-10,38590,22475,61065,11715,4472,12739,2537
2018-12-11,38591,22457,61048,11739,4465,12733,2533
2018-12-13,38636,22526,61162,11678,4474,12776,2549
2018-12-16,38551,22454,61005,11711,4449,12736,2533
2018-12-18,38601,22421,61022,11751,4480,12696,2543
2018-12-26,38383,22261,60644,11696,4412,12606,2557
2018-12-30,38211,22239,60450,11649,4397,12584,2520
2019-04-25,37738,20927,58665,12108,4435,11920,2512
2019-06-08,37124,20734,57858,11746,4305,11794,2505
2019-06-10,37276,20734,58010,11832,4327,11792,2526
2019-06-11,37265,20739,58004,11810,4350,11790,2522
2019-06-12,37376,20763,58139,11882,4372,11804,2522
2019-06-23,37299,20742,58041,11835,4371,11780,2515
2019-07-08,37293,20848,58141,11752,4354,11847,2522
2019-07-17,37303,20861,58164,11802,4376,11839,2490
2019-08-06,37510,21146,58656,11841,4380,11975,2497
2019-09-08,37961,21515,59476,11866,4489,12197,2508
2019-09-19,38187,21649,59836,11972,4583,12224,2506
2019-09-30,38094,21601,59695,11914,4543,12219,2501
2019-10-01,38049,21585,59634,11875,4523,12207,2511
2019-10-22,38366,21734,60100,12055,4592,12244,2532
2019-12-30,38081,21266,59347,12311,4606,11910,2471
2020-01-09,38356,21457,59813,12391,4656,12017,2475
2020-01-12,38281,21493,59774,12383,4636,12023,2458
2020-01-13,38368,21479,59847,12403,4638,12018,2488
2020-01-15,38400,21505,59905,12404,4658,12031,2481
2020-01-16,38418,21497,59915,12411,4674,12028,2479
2020-01-20,38465,21404,59869,12477,4701,11974,2486
2020-01-30,38374,21268,59642,12504,4731,11903,2476
2020-02-02,38231,21252,59483,12454,4680,11881,2458
2020-02-03,38222,21251,59473,12417,4689,11881,2470
2020-02-04,37932,20906,58838,12409,4717,11639,2456
2020-02-05,38032,20941,58973,12479,4711,11662,2457
2020-03-19,37455,20358,57813,12528,4618,11317,2444
2020-04-06,37702,20278,57980,12669,4609,11414,2448
2020-04-09,37621,20221,57842,12692,4633,11329,2433
2020-04-14,37536,20109,57645,12643,4621,11332,2425
2020-05-03,36915,19730,56645,12685,4484,11032,2357
2020-05-04,36972,19749,56721,12710,4493,11038,2364
2020-06-18,36640,19170,55810,13054,4387,10755,2289
2020-08-06,36276,18669,54945,13148,4481,10508,2205
2020-08-09,36222,18619,54841,13140,4496,10483,2196
2020-09-30,35873,18270,54143,13278,4520,10326,2096
2020-10-15,35960,18240,54200,13419,4514,10304,2086
2020-10-21,35867,18218,54085,13423,4508,10280,2062
2020-11-09,35905,18021,53926,13590,4524,10224,2043
2020-11-18,36005,17958,53963,13744,4562,10196,2027
2020-12-10,35897,17773,53670,13783,4553,10115,2020
2020-12-17,35991,17661,53652,13913,4558,10067,2025
2020-12-23,35787,17564,53351,13827,4537,10022,2003
2021-01-05,35589,17316,52905,13876,4508,9870,1977
2021-01-26,35659,17174,52833,14044,4583,9798,1956
2021-03-01,35195,16746,51941,13936,4543,9593,1920
2021-03-02,35202,16746,51948,13962,4526,9590,1922
2021-03-03,35108,16720,51828,13931,4503,9579,1913
2021-03-04,35176,16720,51896,13989,4526,9578,1911
2021-03-08,35161,16720,51881,14011,4495,9571,1901
2021-03-17,34879,16485,51364,13928,4526,9434,1878
2021-03-25,34693,16311,51004,13879,4517,9352,1879
2021-04-04,34419,16187,50606,13812,4406,9299,1859
2021-04-11,34288,16050,50338,13820,4405,9210,1862
2021-04-15,34129,16003,50132,13738,4400,9197,1840
2021-04-19,33956,15911,49867,13657,4391,9140,1841
2021-04-29,33721,15735,49456,13625,4341,9061,1814
2021-05-04,33564,15631,49195,13557,4352,8997,1811
2021-05-05,33638,15629,49267,13606,4382,9039,1804
2021-05-06,33560,15587,49147,13551,4389,8985,1803
2021-05-11,33350,15458,48808,13537,4360,8894,1784
2021-05-13,33293,15515,48808,13474,4347,8930,1780
2021-05-17,33191,15456,48647,13429,4337,8908,1778
2021-05-19,33026,15346,48372,13396,4311,8867,1760
2021-05-31,32887,15341,48228,13317,4266,8872,1748
2021-06-02,32705,15256,47961,13216,4271,8821,1737
2021-06-03,32801,15307,48108,13279,4272,8842,1738
2021-06-07,32704,15238,47942,13235,4261,8800,1746
2021-06-08,32680,15239,47919,13246,4234,8798,1737
2021-06-09,32597,15201,47798,13190,4241,8776,1735
2021-06-10,32659,15288,47947,13202,4245,8817,1732
2021-06-13,32652,15245,47897,13208,4263,8800,1736
2021-06-17,32493,15135,47628,13165,4242,8755,1728
2021-07-06,31146,14549,45695,12386,4232,8324,1693
2021-08-26,30444,14392,44836,12230,4012,8272,1592
2021-09-12,30438,14650,45088,12069,3999,8411,1582
2021-10-31,31023,14887,45910,12386,4113,8591,1559
2021-11-21,31028,14728,45756,12577,4132,8511,1511
2021-11-25,30946,14788,45734,12452,4105,8544,1512
2021-12-12,31071,14855,45926,12556,4131,8559,1497
2021-12-26,30786,14659,45445,12504,4070,8460,1457
2022-01-04,30630,14508,45138,12526,4039,8380,1445
2022-01-05,30670,14581,45251,12498,4043,8416,1455
2022-01-12,30808,14662,45470,12589,4047,8467,1435
2022-02-17,30706,14518,45224,12604,4015,8387,1431
2022-03-23,30692,14610,45302,12571,4032,8447,1400
2022-03-28,30746,14570,45316,12608,4059,8428,1399
2022-03-29,30715,14525,45240,12635,4060,8411,1385
2022-03-30,30726,14560,45286,12588,4046,8428,1406
2022-04-21,30732,14702,45434,12542,3999,8490,1390
2022-04-24,30674,14765,45439,12442,3967,8537,1399
2022-04-28,30943,14831,45774,12551,4022,8595,1406
2022-05-02,30845,14731,45576,12508,4024,8555,1408
2022-05-03,30841,14811,45652,12478,4025,8582,1394
2022-06-14,31252,15249,46501,12194,4084,8914,1388
2022-06-16,31309,15234,46543,12199,4104,8906,1404
2022-06-22,31481,15425,46906,12220,4130,8993,1396
2022-06-23,31493,15502,46995,12181,4126,9039,1390
2022-07-07,32108,15907,48015,12297,4124,9294,1420
2022-07-17,32165,16023,48188,12246,4042,9375,1433
2022-07-18,32363,16090,48453,12313,4095,9404,1445
2022-07-19,32477,16160,48637,12314,4120,9445,1453
2022-07-28,33191,16612,49803,12509,4128,9714,1473
2022-07-31,33270,16765,50035,12482,4099,9810,1468
2022-08-01,33368,16729,50097,12572,4114,9790,1479
2022-08-03,33581,16827,50408,12594,4144,9869,1491
2022-08-08,33725,16933,50658,12627,4132,9932,1495
2022-08-17,34204,17148,51352,12866,4125,10095,1492
2022-08-30,35672,17757,53429,13343,4239,10449,1594
2022-09-08,36481,18289,54770,13465,4250,10757,1670
2022-09-11,36847,18491,55338,13592,4257,10871,1690
2022-09-12,36992,18493,55485,13661,4248,10863,1735
2022-09-15,37601,18733,56334,13857,4292,11024,1764
2022-09-18,38172,19027,57199,14076,4280,11198,1780
2022-09-19,38396,19045,57441,14134,4315,11216,1818
2022-09-20,38622,19121,57743,14237,4308,11255,1828
2022-09-25,39484,19414,58898,14517,4358,11436,1933
2022-09-27,39732,19394,59126,14643,4365,11432,1966
2022-10-05,41136,19934,61070,15071,4380,11765,2113
2022-10-06,41335,20044,61379,15131,4394,11819,2128
2022-10-13,42530,20442,62972,15689,4411,12046,2217
2022-10-20,43114,20635,63749,15841,4441,12158,2309
2022-11-03,42905,20540,63445,15674,4422,12071,2334
2022-11-09,42816,20502,63318,15640,4367,12075,2326
2022-11-14,42972,20609,63581,15641,4394,12134,2345
2022-11-15,43137,20728,63865,15724,4421,12186,2338
2022-11-21,43277,20794,64071,15791,4429,12176,2347
2022-12-08,43287,21071,64358,15501,4388,12299,2392
2022-12-13,43492,21150,64642,15517,4418,12339,2423
2022-12-15,43588,21188,64776,15562,4397,12360,2432
2022-12-29,44564,21640,66204,15747,4369,12584,2544
2023-01-02,44956,21875,66831,15765,4368,12746,2584
2023-01-08,45683,22197,67880,16046,4372,12947,2615
2023-01-09,45916,22294,68210,16105,4372,13004,2646
2023-01-12,46201,22419,68620,16168,4437,13078,2665
2023-01-17,46629,22625,69254,16344,4460,13186,2683
2023-02-02,47819,23037,70856,16627,4459,13502,2813
2023-02-06,47810,22881,70691,16670,4508,13398,2820
2023-03-02,47794,22940,70734,16716,4452,13456,2797
2023-03-05,47894,22966,70860,16803,4472,13489,2770
2023-03-07,48066,23011,71077,16867,4532,13518,2778
2023-03-14,48198,23022,71220,16993,4520,13539,2763
2023-03-16,48257,23029,71286,16968,4518,13551,2787
2023-03-19,48488,23208,71696,17079,4524,13646,2762
2023-04-06,49647,23834,73481,17341,4571,14009,2850
2023-04-18,50398,24258,74656,17581,4589,14272,2882
2023-04-23,50865,24577,75442,17717,4596,14430,2901
2023-05-17,54132,26604,80736,18457,4637,15648,3047
2023-05-30,54221,26923,81144,18107,4647,15840,3071
2023-06-05,53582,26805,80387,17660,4621,15774,3034
2023-06-15,53530,26913,80443,17518,4681,15843,3022
2023-06-28,53521,27560,81081,17107,4691,16181,2948
2023-07-09,53486,27895,81381,16973,4710,16337,2881
2023-07-11,53469,28025,81494,16819,4732,16411,2893
2023-07-19,53797,28209,82006,16905,4784,16491,2916
2023-07-23,53801,28269,82070,16971,4710,16522,2904
2023-07-30,53849,28392,82241,16933,4695,16638,2886
2023-08-06,53394,28648,82042,16626,4700,16781,2723
2023-08-17,53708,29265,82973,16449,4739,17094,2669
2023-08-31,52588,30287,82875,15237,4801,17693,2234
2023-09-04,52518,30468,82986,15055,4749,17810,2229
2023-09-06,52602,30670,83272,14953,4791,17937,2206
2023-09-11,52827,30977,83804,14988,4780,18112,2172
2023-09-12,53004,31076,84080,15062,4808,18160,2177
2023-09-13,52995,31114,84109,15057,4792,18183,2174
2023-09-14,53104,31180,84284,15090,4809,18232,2171
2023-09-18,52981,31253,84234,14937,4799,18282,2156
2023-09-20,53097,31403,84500,14920,4782,18360,2164
2023-09-21,53209,31450,84659,14980,4789,18399,2160
2023-09-24,53373,31565,84938,15026,4795,18484,2150
2023-10-03,53402,31776,85178,14923,4753,18578,2158
2023-10-04,53426,31842,85268,14928,4751,18615,2144
2023-10-05,53552,31874,85426,14958,4754,18661,2155
2023-10-09,53804,32160,85964,14945,4753,18824,2157
2023-10-11,53832,32138,85970,14990,4664,18834,2195
2023-10-12,53989,32155,86144,15000,4802,18840,2198
2023-10-15,54442,32337,86779,15271,4860,18939,2178
2023-10-16,54462,32421,86883,15162,4880,19003,2190
2023-10-17,54548,32403,86951,15217,4893,18986,2205
2023-10-19,54838,32434,87272,15306,4964,18995,2252
2023-10-24,55299,32619,87918,15520,5018,19088,2294
2023-10-26,55302,32660,87962,15521,4985,19096,2300
2023-10-29,55686,32833,88519,15632,5052,19198,2319
2023-10-30,55827,32881,88708,15723,5048,19222,2327
2023-11-02,55887,32866,88753,15777,5086,19217,2319
2023-11-05,55915,32895,88810,15784,5064,19243,2317
2023-11-07,56055,32938,88993,15830,5091,19265,2316
2023-11-08,56011,33008,89019,15775,5082,19302,2309
2023-11-13,56281,33160,89441,15916,5089,19381,2305
2023-11-14,56245,33126,89371,15930,5084,19368,2301
2023-11-15,56103,33104,89207,15853,5083,19342,2287
2023-11-16,56131,33110,89241,15855,5069,19345,2298
2023-11-19,55995,33103,89098,15811,5060,19332,2270
2023-11-20,56155,33105,89260,15897,5091,19334,2286
2023-11-21,56149,33097,89246,15891,5090,19336,2284
2023-11-27,56176,33042,89218,16017,5072,19309,2271
2023-11-30,56263,33033,89296,16068,5084,19320,2267
2023-12-03,56284,33147,89431,16053,5077,19398,2245
2023-12-04,56306,33135,89441,16083,5062,19389,2252
2023-12-05,56273,33048,89321,16137,5072,19350,2239
2023-12-06,56382,33055,89437,16230,5075,19352,2245
